Time, Song, Artist, Album ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 14:51,Southern Style,Darius Rucker,Southern Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 14:51,Empty Pages (Live),Traffic,John Barleycorn Must Die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 14:55,40,000 Headmen (Live Version),Traffic,John Barleycorn Must Die (Deluxe Edition),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 14:57,Don't Think I Don't Think About It,Darius Rucker,Learn To Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 14:58,40,000 Headmen (Live Version),Traffic,John Barleycorn Must Die (Deluxe Edition),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 14:58,Don't Think I Don't Think About It,Darius Rucker,Learn To Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 14:59,Who Knows What Tomorrow May Bring (Live),Traffic,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:00,Another Night With You,Darius Rucker,When Was the Last Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:00,Who Knows What Tomorrow May Bring (Live),Traffic,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:01,Another Night With You,Darius Rucker,When Was the Last Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:01,Who Knows What Tomorrow May Bring (Live),Traffic,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:04,Every Mother's Son (Live),Traffic,John Barleycorn Must Die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:11,Glad/Freedom Rider,Traffic,On the Road (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:25,Ohio,Crosby & Stills & Nash & Young,So Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:28,Ooh La La,Faces,Snakes and Ladders: The Best of Faces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:32,For What It's Worth,Buffalo Springfield,Buffalo Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:35,Suite: Judy Blue Eyes,Crosby & Stills & Nash,Crosby, Stills & Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:42,Light Up Or Leave Me Alone,Traffic,The Low Spark of High Heeled Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:47,Lay Lady Lay,The Byrds,Dr. Byrds & Mr. Hyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:50,Our House,Crosby & Stills & Nash & Young,Déjà Vu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 15:53,The Bomber A: Closet Queen B: Bolero C: Cast Your Fate To The Wind,James Gang,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:00,Tight Rope,Leon Russell,Carney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:03,Who Knows What Tomorrow May Bring,Traffic,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:07,Cause We've Ended As Lovers,Jeff Beck,Blow By Blow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:12,Ride My See-Saw,The Moody Blues,失われたコードを求めて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:16,Almost Cut My Hair,Crosby & Stills & Nash & Young,Déjà Vu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:20,Funk #49,James Gang,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:24,John Barleycorn (Must Die),Traffic,Feelin' Alright: The Very Best of Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
