Time, Song, Artist, Album ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 15:53,Beast Of Burden,The Rolling Stones,Some Girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 15:57,Refugee,Tom Petty & The Heartbreakers,Damn the Torpedoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:01,Call Me The Breeze,J.J. Cale,Naturally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:04,Can't You See,The Marshall Tucker Band,The Marshall Tucker Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:10,Melissa,The Allman Brothers Band,Eat a Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:13,End Of The Line,The Traveling Wilburys,The Traveling Wilburys Collection (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:17,Hotel California,Eagles,Hotel California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:24,For What It's Worth,Buffalo Springfield,Buffalo Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:26,No Sugar Tonight/New Mother Nature,The Guess Who,American Woman (Expanded Edition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:31,Face The Fact,Ted Nilsson & Mikey Dalton,Hobo's Lullaby (Remastered 2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:36,Down On The Corner,Creedence Clearwater Revival,Willy and the Poor Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 16:38,Ramblin' Man,The Allman Brothers Band,Brothers and Sisters (Deluxe Edition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 19:21,Alone (Extended Mix),Goom Gum,Alone (Extended Mix) - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 20:06,Run Wild,Thutmose Feat. NoMBe,Run Wild (feat. NoMBe) - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 20:35,Parade (W/M),Sylvan Esso,PARAD(w/m)E - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 20:36,Two High,Moon Taxi,Two High - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 20:40,Crowd, Party, Rowdy, Close Sound Effect,Pro Sound Effects Suite,Crowd, Party, Rowdy, Close Sound Effect,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 21:02,Ten-Twenty-Ten,Generationals,ActorCaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 21:19,I'll Get There (Mixed),Align,I'll Get There - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 22:04,Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:08,Tapestry,Carole King,Tapestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:10,Helplessly Hoping,Crosby & Stills & Nash,Crosby, Stills & Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:12,You're So Vain,Carly Simon,The Best of Carly Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:17,I Got A Name,Jim Croce,I Got a Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:20,Moonshadow,Cat Stevens,Teaser and the Firecat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:23,Carry On,Crosby & Stills & Nash & Young,Déjà Vu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:27,Carolina In My Mind,Carole King & James Taylor,Live At The Troubadour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:32,Dirty Work,Steely Dan,Can't Buy a Thrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:35,Suite: Judy Blue Eyes,Crosby & Stills & Nash,Crosby, Stills & Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:42,Wichita Lineman,Glen Campbell,Wichita Lineman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:45,The Wind,Cat Stevens,Teaser and the Firecat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:47,Ohio,Crosby & Stills & Nash & Young,So Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:50,You've Got A Friend,Carole King,Tapestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:55,Sundown,Gordon Lightfoot,Gord's Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 9:59,Cracklin' Rosie,Neil Diamond,Tap Root Manuscript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:02,You're No Good,Linda Ronstadt,Heart Like a Wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:06,Blowin' In The Wind,Peter & Paul & Mary,In the Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:09,Sweet Seasons,Carole King,A Natural Woman: The Ode Collection 1968-1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:10,My Enemies Have Sweet Voices,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:15,A Small Fruit Song,Al Stewart,A Piece of Yesterday: The Anthology (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:17,Gethsemane, Again,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:22,Burbling,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:25,恋愛運を高める,恋愛力,恋愛運を高める,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:25,Burbling,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:26,Electric Los Angeles Sunset,Al Stewart,Premium Gold Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:30,Manuscript,Al Stewart,A Piece of Yesterday: The Anthology (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:34,Black Hill,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:36,Anna,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:38,Room Of Roots,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:40,Summer Ride (Demo),J.JAX,Summer Ride - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:40,Room Of Roots,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:41,Zero She Flies,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:47,Stormy Night,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:50,The News From Spain,Al Stewart,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:56,Redemption,Nathaniel Rateliff,Redemption (From the Apple Original Film “Palmer”) - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:57,Lyke-Wake Dirge,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:57,Redemption,Nathaniel Rateliff,Redemption (From the Apple Original Film “Palmer”) - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 10:57,Lyke-Wake Dirge,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:01,Time Passages,Al Stewart,Time Passages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:08,Suite: Judy Blue Eyes,Crosby & Stills & Nash,Crosby, Stills & Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:15,And When I Die,Blood & Sweat & Tears,What Goes Up: The Best of Blood, Sweat & Tears,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:16,Neverless (Original Mix),Venetic,Neverless - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:16,And When I Die,Blood & Sweat & Tears,What Goes Up: The Best of Blood, Sweat & Tears,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:19,Nights In White Satin,The Moody Blues,Nights In White Satin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:24,Sundown,Gordon Lightfoot,Gord's Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:27,The Rock Of Cashel,Celtic Céilí & The Irish Show,Last Night's Fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:27,Last Days Of The Century/Constantinople/Last Days,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:34,So Into You,Atlanta Rhythm Section,So into You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:39,Crazy Love,Poco,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:42,Dirty Work,Steely Dan,Can't Buy a Thrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:45,Helplessly Hoping,Crosby & Stills & Nash,Crosby, Stills & Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:48,Roads To Moscow (Live 1981),Al Stewart,Past, Present and Future,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 11:56,Back In The High Life Again,Steve Winwood,Back In the High Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:01,American Pie,Don McLean,The Best of Don McLean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:10,Miracles,Jefferson Starship,Red Octopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:17,Cinderella (Single Version),Firefall,Firefall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:20,Coldest Winter,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:25,My Man (Original Mix),Babylene,My Man (Original Mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:26,Coldest Winter,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:26,My Man (Original Mix),Babylene,My Man (Original Mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:26,Lowdown,Boz Scaggs,Silk Degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:32,Ebony Eyes,Bob Welch,French Kiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:35,Romeo's Tune,Steve Forbert,Jack Rabbit Slim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:39,I Saw The Light,Todd Rundgren,Something/Anything?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:42,Year Of The Cat,Al Stewart,Year of the Cat (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:48,Help Is On Its Way,Little River Band,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:52,If You Could Read My Mind,Gordon Lightfoot,If You Could Read My Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:56,Josie,Steely Dan,Aja (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:57,Keep Control (ARTBAT Remix),Sono,Keep Control (ARTBAT Remix) - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 12:57,Josie,Steely Dan,Aja (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:01,Jane,Jefferson Starship,Greatest Hits (Ten Years and Change 1979-1991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:05,End Of The Day,Al Stewart,Time Passages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:08,I'm In You,Peter Frampton,I'm In You (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:12,While You See A Chance,Steve Winwood,Arc of a Diver (Deluxe Edition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:18,Love The One You're With,Stephen Stills,Stephen Stills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:21,Cool Change,Little River Band,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:26,News From Spain,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:30,Awash,Atra Aeterna,Hard Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:30,News From Spain,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:30,Tired Hope (Extended),JonasCept,Tired Hope - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:31,Evolution,Inguerzon,Evolution EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:31,News From Spain,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:32,Dreadlock Holiday,10cc,Bloody Tourists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:36,Baker Street,Gerry Rafferty,City to City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:42,You've Made Me So Very Happy,Blood & Sweat & Tears,Blood, Sweat & Tears: Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:47,Dark Star,Crosby & Stills & Nash,CSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:51,Song On The Radio,Al Stewart,Time Passages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 13:58,New Frontier,Donald Fagen,The Nightfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:03,More Days On Week,Gabriel Marchisio,More Days on Week - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:03,New Frontier,Donald Fagen,The Nightfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:04,Time (Original Mix),Several Definitions,Time - EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:04,New Frontier,Donald Fagen,The Nightfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:04,The Boys Of Summer,Don Henley,Building the Perfect Beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:09,Reelin' In The Years,Steely Dan,Can't Buy a Thrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:14,Good Morning Judge,10cc,Deceptive Bends (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:17,How To Be A Werewolf,Mogwai,Hardcore Will Never Die But You Will (Music for a Forgotten Future),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:17,Gethsemane, Again,Al Stewart,Zero She Flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:22,Castles In The Air,Don McLean,Believers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:26,You're So Vain,Carly Simon,The Best of Carly Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:30,Runaway,Jefferson Starship,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:36,Peg,Steely Dan,Bristow, Va 1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:40,Constantinople,Al Stewart,24 Carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:44,Lonesome Loser,Little River Band,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:48,Dirty Laundry,Don Henley,I Can't Stand Still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:54,Southern Cross,Crosby & Stills & Nash,Daylight Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 14:59,Smuggler's Blues,Glenn Frey,The Allnighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:02,A Small Fruit Song,Al Stewart,A Piece of Yesterday: The Anthology (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:04,Any Major Dude Will Tell You,Steely Dan,Pretzel Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:07,Early Morning Rain,Gordon Lightfoot,Lightfoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:11,Georgia,Boz Scaggs,Silk Degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:15,A Horse With No Name,America,America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:19,Nostradamus,Al Stewart,Past, Present and Future,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:22,By Panthon,Falling Majesties,Mesmerism - EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:22,Nostradamus,Al Stewart,Past, Present and Future,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:23,Germanium,Foog,Germanium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:24,Nostradamus,Al Stewart,Past, Present and Future,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:24,Jet Stream,Urban Meditation,Currents of Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:24,Nostradamus,Al Stewart,Past, Present and Future,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:29,Wooden Ships,Crosby & Stills & Nash,Crosby, Stills & Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:34,I.G.Y.,Donald Fagen,The Nightfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:40,The Heart Of The Matter,Don Henley,The End of the Innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:45,It's A Long Way There,Little River Band,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:51,Time,Pachanga Boys,Girlcatcher - EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:51,It's A Long Way There,Little River Band,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:54,Va dire à ton ex,Dadju,Poison Ou Antidote (Edition Miel Book),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:54,It's A Long Way There,Little River Band,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:54,Mondo Sinistro,Al Stewart,Premium Gold Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 15:57,Heart Of The Night,Poco,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:02,Deacon Blues,Steely Dan,Aja (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:10,These Days,Jackson Browne,For Everyman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:15,Just A Song Before I Go,Crosby & Stills & Nash,Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:17,Night Of The 4th Of May,Al Stewart,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:24,On And On,Stephen Bishop,Careless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:27,The Watchman's Gone,Gordon Lightfoot,Sundown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:31,Sierra,Boz Scaggs,Some Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:36,The End Of The Innocence,Don Henley,The End of the Innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:41,Old Admirals,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:50,Better Days,Graham Nash,Songs for Beginners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:52,Fade Into Darkness (Vocal Club Mix),Avicii,Fade Into Darkness - EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:52,Beautiful Stars,Cammel,Beautiful Stars - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:52,Better Days,Graham Nash,Songs for Beginners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:53,This Sound (Original Mix),DJ Spektur,The Room, Pt. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:53,Better Days,Graham Nash,Songs for Beginners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:54,Dance With Me,Orleans,Still the One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 16:57,Vincent,Don McLean,The Best of Don McLean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:01,Do It Again,Steely Dan,Can't Buy a Thrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:07,Lord Grenville,Al Stewart,Year of the Cat (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:12,Count On Me,Jefferson Starship,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:15,Tuesday Afternoon,The Moody Blues,Days of Future Passed (Remastered 2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:19,Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,Summertime Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:26,Fantasia Super Komm, Heiliger Geist, Herre Gott BWV 651:,Bernhard Romer,Bach, J.S.: Organ Works,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:26,Good Time Charlie's Got the Blues,Steve Forbert,Good Time Charlie's Got the Blues - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:29,Optical Illusion,Al Stewart,24 Carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:32,The Way It Is,Bruce Hornsby And The Range,The Way It Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:37,New York Minute,Don Henley,The End of the Innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:44,Part Of Me, Part Of You,Glenn Frey,Strange Weather,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:49,Nexus (Danny Freakazoid Remix),Dr. Kucho!,Nexus (Remixes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:50,Part Of Me, Part Of You,Glenn Frey,Strange Weather,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:50,Roll With It,Steve Winwood,Roll With It,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 17:55,Night Train To Munich,Al Stewart,Between the Wars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:00,Whatcha Gonna Do?,Pablo Cruise,Want You Tonight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:04,Alone Again (Naturally),Gilbert O'Sullivan,Back to Front (Deluxe Edition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:08,I Wouldn't Want To Be Like You,The Alan Parsons Project,I Robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:11,Rikki Don't Lose That Number,Steely Dan,Pretzel Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:15,Fm,Steely Dan,A Decade of Steely Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:20,Show Me The Way,Peter Frampton,Peter Frampton: Greatest Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:24,The Things We Do For Love,10cc,Deceptive Bends (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:28,Late For The Sky,Jackson Browne,Late For the Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:30,Omar,Bayonne,Primitives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:31,Late For The Sky,Jackson Browne,Late For the Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:32,The Sun,Syd,The Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:33,Late For The Sky,Jackson Browne,Late For the Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:34,Electric Los Angeles Sunset,Al Stewart,Premium Gold Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:37,Ventura Highway,America,Homecoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:41,Call It Love,Poco,The Essential Poco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:45,Oblasts,Gabriel Mcauley,Airmovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:45,Call It Love,Poco,The Essential Poco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:45,Pretzel Logic,Steely Dan,Pretzel Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:50,The Last Worthless Evening,Don Henley,The End of the Innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:53,Watch Me Tikt0k (Remix),Dj Douyin Remix,Watch me tikt0k (Remix) - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:54,The Last Worthless Evening,Don Henley,The End of the Innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:56,Doctor My Eyes,Jackson Browne,Jackson Browne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 18:59,Valerie,Steve Winwood,Talking Back To The Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 19:03,The Story In Your Eyes,The Moody Blues,This Is the Moody Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 19:06,Timeless,Psyrotica,Timeless - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 19:06,The Story In Your Eyes,The Moody Blues,This Is the Moody Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 19:06,Cat's In The Cradle,Harry Chapin,Verities & Balderdash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 19:10,The Palace Of Versailles,Al Stewart,Time Passages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 19:15,And I Love You So,Don McLean,The Best of Don McLean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 19:20,Aja,Steely Dan,Aja (Remastered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
