time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,x_speed,y_speed
1626098410,40774f,50.78269958,-0.874006942,32.30773854,99.16234705,-0.65024,GSHAZ   ,FALSE,FALSE,FALSE,7000,723.9,746.76,1626098408,1626098410,31.895528,-5.14444
1626098410,4bb14f,53.24267888,-0.638822668,246.2231312,112.868495,0,THY6552 ,FALSE,FALSE,FALSE,5243,10668,10843.26,1626098410,1626098410,226.869804,-95.686584
1626098410,4074b8,50.46970173,-0.092715702,220.0792394,143.0765299,0,EZY6017 ,FALSE,FALSE,FALSE,5212,11887.2,12146.28,1626098410,1626098410,132.212108,-175.939848
1626098410,c07233,51.72768286,0.357513428,249.2416144,322.0420392,-0.32512,HRT100  ,FALSE,FALSE,FALSE,2762,11582.4,11803.38,1626098410,1626098410,-153.304312,196.517608
1626098410,43c8e3,52.72329712,-3.085861206,56.28873134,198.103763,-2.60096,AFGHAN1 ,FALSE,FALSE,FALSE,7420,365.76,411.48,1626098403,1626098409,-17.491096,-53.502176
1626098410,406ea4,51.18667603,-2.675838986,59.37316751,242.102729,0,GGAXC   ,FALSE,FALSE,FALSE,5077,822.96,807.72,1626098410,1626098410,-52.473288,-27.779976
1626098410,40658e,52.07295227,-1.747512817,43.83654571,54.07149758,-0.32512,GOBZR   ,FALSE,FALSE,FALSE,7000,556.26,518.16,1626098409,1626098410,35.496636,25.7222
1626098410,4076a3,51.29139528,-0.501708984,40.1398207,1.468800714,0,GLAVN   ,FALSE,FALSE,FALSE,7010,327.66,350.52,1626098409,1626098410,1.028888,40.126632
1626098410,4010eb,51.94747925,-0.267944336,142.6040253,314.4153695,27.31008,EZY9007 ,FALSE,FALSE,FALSE,6307,2194.56,2232.66,1626098410,1626098410,-101.859912,99.802136
1626098410,4cafd2,51.09210515,-0.573196411,172.3418113,22.27780466,0,RYR42TM ,FALSE,FALSE,FALSE,7464,5791.2,5897.88,1626098410,1626098410,65.334388,159.47764
1626098410,43c2b3,53.48519897,-1.939557757,133.6782511,332.7446716,0,WAD47   ,FALSE,FALSE,FALSE,6371,4267.2,4373.88,1626098410,1626098410,-61.218836,118.836564
1626098410,4009d2,50.80673218,-3.506197543,193.6285483,267.4112623,0,AMBER1  ,FALSE,FALSE,FALSE,3354,6096,6210.3,1626098410,1626098410,-193.430944,-8.745548
